NU_ANO,TP_FAIXA_ETARIA,TP_SEXO,TP_ESTADO_CIVIL,TP_COR_RACA,TP_NACIONALIDADE,TP_ST_CONCLUSAO,TP_ESCOLA,TP_ENSINO,NO_MUNICIPIO_ESC,SG_UF_ESC,TP_DEPENDENCIA_ADM_ESC,TP_LOCALIZACAO_ESC,TP_SIT_FUNC_ESC,TP_PRESENCA_CN,TP_PRESENCA_CH,TP_PRESENCA_LC,TP_PRESENCA_MT,NU_NOTA_CN,NU_NOTA_CH,NU_NOTA_LC,NU_NOTA_MT,TP_LINGUA,TP_STATUS_REDACAO,NU_NOTA_COMP1,NU_NOTA_COMP2,NU_NOTA_COMP3,NU_NOTA_COMP4,NU_NOTA_COMP5,NU_NOTA_REDACAO,ESQ_PAI,ESC_MAE,OCU_PAI,OCU_MAE,QTD_PESSOAS,RENDA_MENSAL,EMP_DOMESTICO,BANHEIRO,QTD_QUARTOS,CARRO,MOTO,GELADEIRA,FREEZER,LAVA_ROUPA,SECA_ROUPA,MICROONDAS,LAVA_LOUCA,ASPIRADOR,TV,DVD,TV_ASSINATURA,CELULAR,TELEFONE_FIXO,COMPUTADOR,INTERNET
2018,3,M,0.0,0,1,2,2,1.0,Rio Pardo de Minas,MG,2.0,1.0,1.0,1.0,1.0,1.0,1.0,470.6,473.8,534.4,410.4,0,1.0,120.0,120.0,100.0,120.0,140.0,600.0,B,B,A,A,7.0,B,A,B,D,B,B,B,A,A,A,A,A,A,B,B,A,D,A,A,A
2018,2,F,0.0,3,1,2,2,1.0,São Francisco,MG,2.0,1.0,1.0,1.0,1.0,1.0,1.0,415.9,485.6,512.5,534.9,0,1.0,120.0,120.0,100.0,120.0,80.0,540.0,E,E,D,B,3.0,D,A,B,C,B,A,B,A,A,A,A,A,A,B,B,A,D,A,A,B
2018,2,M,0.0,3,1,2,2,1.0,Montalvânia,MG,2.0,1.0,1.0,1.0,1.0,1.0,1.0,544.5,611.3,487.8,600.1,1,1.0,120.0,140.0,100.0,120.0,80.0,560.0,H,E,D,B,4.0,C,A,C,E,A,A,B,B,A,A,A,A,A,B,A,A,C,A,B,B
2018,3,F,0.0,1,1,2,2,1.0,Teófilo Otoni,MG,2.0,1.0,1.0,1.0,1.0,1.0,1.0,569.5,596.1,583.6,545.6,0,1.0,140.0,40.0,40.0,120.0,40.0,380.0,E,E,B,B,4.0,H,A,C,D,B,A,B,A,B,A,B,A,A,B,A,B,E,A,B,B
2018,3,M,0.0,1,1,2,1,1.0,Januária,MG,1.0,2.0,1.0,1.0,1.0,1.0,1.0,527.5,678.5,631.8,725.9,0,1.0,160.0,160.0,140.0,120.0,100.0,680.0,E,E,B,B,3.0,A,A,C,C,B,A,B,A,B,A,A,A,A,C,B,A,D,B,B,B
2018,3,M,0.0,3,1,2,1,1.0,Arinos,MG,1.0,1.0,1.0,1.0,1.0,1.0,1.0,633.8,660.5,639.6,712.7,1,1.0,120.0,160.0,120.0,120.0,100.0,620.0,F,E,F,F,3.0,C,A,B,C,A,A,B,A,A,A,B,A,A,B,A,A,B,A,B,B
2018,2,F,0.0,3,1,2,4,1.0,Itaobim,MG,4.0,2.0,1.0,1.0,1.0,1.0,1.0,438.0,604.2,519.9,427.7,1,1.0,80.0,40.0,40.0,80.0,20.0,260.0,D,E,A,A,2.0,B,A,B,B,A,A,B,A,B,A,A,A,A,A,A,A,B,A,B,B
2018,2,F,0.0,3,2,2,2,1.0,Icaraí de Minas,MG,2.0,1.0,1.0,1.0,1.0,1.0,1.0,435.2,472.6,389.4,395.4,0,1.0,160.0,40.0,40.0,120.0,20.0,380.0,D,E,C,B,4.0,B,A,B,D,A,A,B,B,A,A,A,A,A,B,A,A,C,A,A,A
2018,3,F,0.0,3,1,2,2,1.0,Montes Claros,MG,2.0,1.0,1.0,1.0,1.0,1.0,1.0,397.3,513.6,387.8,550.7,1,1.0,140.0,40.0,40.0,80.0,20.0,320.0,C,C,D,B,3.0,C,A,B,B,A,B,B,A,A,A,B,A,A,B,A,A,C,A,A,B
2018,2,M,0.0,3,1,2,2,1.0,Bonfinópolis de Minas,MG,2.0,1.0,1.0,1.0,1.0,1.0,1.0,599.9,643.6,570.3,678.3,1,1.0,160.0,200.0,200.0,180.0,200.0,940.0,D,E,A,B,6.0,L,B,B,D,B,B,B,A,A,A,A,A,A,B,A,A,E,B,B,B
